               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11826,            0.025502,            0.034194,              0.8239,            0.081202,            0.062427,            0.017016,            0.087757,            0.024127,            0.024958,            0.070152,           0.0033165,           0.0033165
                   1,            0.088033,            0.020695,            0.022008,             0.38836,             0.20762,             0.11653,            0.035531,            0.080109,            0.018868,            0.019236,             0.04013,           0.0066279,           0.0066279
                   2,            0.085269,            0.018423,             0.01687,             0.48757,             0.27902,             0.20113,            0.073526,            0.075548,             0.01774,            0.015447,            0.010086,           0.0099173,           0.0099173
                   3,            0.077726,            0.016635,            0.014554,             0.67515,              0.3111,             0.30158,             0.11047,            0.068631,            0.016016,            0.015106,            0.009901,            0.009901,            0.009901
                   4,            0.071752,            0.015979,            0.013051,             0.70816,             0.28998,             0.33602,             0.13559,            0.062507,            0.015808,            0.013675,            0.009901,            0.009901,            0.009901
                   5,            0.068174,            0.016059,            0.012471,             0.70308,             0.33978,             0.35978,             0.15824,            0.061023,            0.015682,            0.012411,            0.009868,            0.009868,            0.009868
                   6,            0.066457,            0.015517,            0.012458,             0.71638,             0.34327,             0.36916,             0.16639,            0.061474,            0.015398,            0.013748,            0.009835,            0.009835,            0.009835
                   7,            0.065307,            0.015295,            0.010902,             0.78604,             0.34633,             0.40335,             0.17495,             0.05932,            0.014856,            0.012468,            0.009802,            0.009802,            0.009802
                   8,            0.062228,            0.015663,             0.01071,             0.74285,              0.3813,             0.39239,             0.16906,            0.055339,            0.014865,            0.012449,            0.009769,            0.009769,            0.009769
                   9,             0.06211,             0.01491,            0.010795,             0.76364,             0.39053,             0.41673,             0.19468,            0.053373,            0.014866,            0.011656,            0.009736,            0.009736,            0.009736
                  10,             0.06122,            0.014735,            0.010368,              0.7474,             0.38272,             0.41558,             0.19749,            0.055835,            0.014728,            0.011375,            0.009703,            0.009703,            0.009703
                  11,            0.060377,            0.014898,           0.0098629,             0.75548,             0.40298,             0.43503,             0.19492,             0.05484,            0.014655,            0.010608,             0.00967,             0.00967,             0.00967
                  12,            0.059537,            0.014748,           0.0095666,             0.78368,             0.37389,             0.43257,             0.19464,            0.054598,            0.014638,            0.011522,            0.009637,            0.009637,            0.009637
                  13,             0.05875,            0.014787,           0.0092345,              0.7927,             0.40643,             0.44849,             0.21329,            0.052676,            0.014433,            0.011736,            0.009604,            0.009604,            0.009604
                  14,            0.057318,            0.014649,           0.0094795,             0.70429,             0.42752,             0.42367,             0.20428,            0.053358,             0.01483,            0.011314,            0.009571,            0.009571,            0.009571
                  15,            0.057636,            0.014822,           0.0087722,             0.75171,             0.41794,             0.44907,             0.21333,            0.052341,            0.014848,            0.010697,            0.009538,            0.009538,            0.009538
                  16,            0.056406,            0.014547,           0.0081221,             0.80342,             0.40659,             0.45692,              0.2226,            0.051017,            0.014591,            0.011236,            0.009505,            0.009505,            0.009505
                  17,            0.055553,            0.014358,           0.0084469,             0.76775,             0.43495,             0.46224,             0.22914,            0.049933,            0.014261,            0.011495,            0.009472,            0.009472,            0.009472
                  18,            0.055495,            0.014446,             0.00876,             0.82698,             0.40426,             0.47289,             0.22925,            0.049912,            0.014427,            0.010593,            0.009439,            0.009439,            0.009439
                  19,             0.05494,            0.014156,            0.008007,             0.79789,             0.42756,             0.48033,             0.23089,            0.051215,            0.014136,            0.010576,            0.009406,            0.009406,            0.009406
                  20,            0.053979,            0.013764,           0.0081585,             0.77783,             0.44275,             0.47914,             0.23435,            0.051452,            0.014309,            0.010457,            0.009373,            0.009373,            0.009373
                  21,            0.054909,            0.014233,           0.0082283,             0.72633,             0.41697,             0.43423,             0.21354,            0.052286,            0.014645,            0.010492,             0.00934,             0.00934,             0.00934
                  22,            0.053688,            0.014124,           0.0072309,             0.76715,             0.46736,             0.49073,             0.24011,            0.050688,            0.013978,           0.0096606,            0.009307,            0.009307,            0.009307
                  23,            0.053313,            0.014307,           0.0074772,             0.84589,              0.4336,             0.48672,             0.24885,            0.048635,            0.013816,           0.0097685,            0.009274,            0.009274,            0.009274
                  24,            0.053062,            0.014268,           0.0074304,             0.79295,             0.44985,             0.49092,             0.25004,            0.047864,            0.013606,           0.0097915,            0.009241,            0.009241,            0.009241
                  25,            0.051886,            0.013702,           0.0070258,              0.8351,             0.43031,             0.48687,             0.24742,            0.047958,            0.013955,            0.010387,            0.009208,            0.009208,            0.009208
                  26,            0.052019,            0.013705,           0.0073304,             0.84756,             0.43707,             0.49454,             0.25587,            0.048151,            0.013468,            0.010486,            0.009175,            0.009175,            0.009175
                  27,            0.051654,              0.0135,           0.0068166,               0.788,             0.42762,             0.48376,             0.24134,            0.049316,            0.013653,            0.010893,            0.009142,            0.009142,            0.009142
                  28,            0.050568,            0.013629,           0.0065521,             0.80789,             0.45304,             0.49107,             0.26078,            0.047786,            0.013733,            0.010257,            0.009109,            0.009109,            0.009109
                  29,            0.050348,            0.013156,           0.0066795,             0.80938,             0.45932,             0.49035,             0.25017,            0.048294,            0.013772,            0.010414,            0.009076,            0.009076,            0.009076
                  30,            0.051257,            0.013273,           0.0067189,             0.77623,             0.43742,             0.46729,             0.24522,            0.047151,            0.013748,            0.011096,            0.009043,            0.009043,            0.009043
                  31,            0.050004,            0.013385,           0.0069133,             0.81166,             0.45477,              0.4931,             0.25433,            0.046684,            0.013408,            0.011157,             0.00901,             0.00901,             0.00901
                  32,            0.051009,            0.013763,           0.0065605,             0.84157,              0.4207,             0.47808,             0.24163,            0.048459,            0.014179,            0.010663,            0.008977,            0.008977,            0.008977
                  33,            0.050059,            0.013531,           0.0064389,             0.80626,             0.47154,             0.51159,             0.26499,             0.04667,            0.013567,            0.010014,            0.008944,            0.008944,            0.008944
