               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.053408,            0.016927,            0.006753,             0.83865,             0.47482,             0.60439,             0.32681,            0.047596,            0.016672,            0.010934,            0.008812,            0.008812,            0.008812
                  38,             0.05359,            0.016345,           0.0068433,             0.82246,             0.48697,             0.58463,             0.32517,            0.047427,            0.016507,            0.011777,            0.008779,            0.008779,            0.008779
                  39,            0.053403,            0.016501,           0.0069908,             0.78762,             0.54126,             0.59734,             0.31663,            0.048478,            0.016648,            0.011812,            0.008746,            0.008746,            0.008746
                  40,            0.052821,             0.01711,           0.0067128,              0.7975,             0.54136,             0.58228,              0.3103,            0.047831,            0.016508,            0.011923,            0.008713,            0.008713,            0.008713
                  41,            0.052759,            0.016507,           0.0065889,             0.79454,             0.49824,             0.58073,              0.2952,            0.047804,            0.016573,            0.011277,             0.00868,             0.00868,             0.00868
                  42,             0.05308,            0.017068,           0.0063828,             0.77878,             0.52859,             0.60018,             0.31412,            0.047559,            0.016331,            0.010904,            0.008647,            0.008647,            0.008647
                  43,            0.052606,            0.016438,           0.0061202,             0.68301,             0.56012,             0.58442,             0.30305,            0.047851,            0.016706,            0.011508,            0.008614,            0.008614,            0.008614
                  44,            0.052705,            0.016467,           0.0062891,             0.76127,             0.53125,             0.59404,             0.31291,            0.047575,            0.016545,            0.011815,            0.008581,            0.008581,            0.008581
                  45,            0.053092,            0.016868,           0.0064958,             0.72394,             0.52247,             0.58196,             0.31585,              0.0472,            0.016649,            0.012018,            0.008548,            0.008548,            0.008548
                  46,            0.052876,            0.016386,           0.0064987,             0.73983,             0.52553,             0.59983,             0.31729,            0.047508,            0.016266,            0.011466,            0.008515,            0.008515,            0.008515
                  47,            0.052949,            0.017117,           0.0061555,             0.77446,             0.56373,             0.60424,             0.33495,            0.047415,            0.016641,            0.011871,            0.008482,            0.008482,            0.008482
